n,alpha,T_c
1,0.01,0.005303150845991082
1,0.02,0.005305236885518299
1,0.03,0.005306937796427076
1,0.04,0.005308067935242683
1,0.05,0.005309064567060073
1,0.06,0.005309888764071289
1,0.07,0.005310530198210968
1,0.08,0.005311122688547938
1,0.09,0.005311662242231479
1,0.1,0.005312111709941673
1,0.11,0.005312576983692083
1,0.12,0.0053129537023971695
1,0.13,0.0053133887861155395
1,0.14,0.0053137565471304896
1,0.15,0.005314117917676009
1,0.16,0.005314433602368774
1,0.17,0.005314749242536419
1,0.18,0.00531511006865345
1,0.19,0.005315475425148832
1,0.2,0.005315758517581821
1,0.21,0.00531610359716923
1,0.22,0.005316418994223146
1,0.23,0.0053166720898108095
1,0.24,0.005316920725124812
1,0.25,0.005317134026499766
1,0.26,0.005317386441969586
1,0.27,0.005317621854261837
1,0.28,0.005317878736054921
1,0.29,0.005318080801283141
1,0.3,0.00531833071830247
1,0.31,0.005318542361723676
1,0.32,0.005318789665321292
1,0.33,0.005319049094585775
1,0.34,0.00531927548529646
1,0.35,0.005319523282563216
1,0.36,0.005319754874844997
1,0.37,0.005320030256616238
1,0.38,0.005320245708360701
1,0.39,0.005320449510402365
1,0.4,0.005320665301463808
1,0.41,0.005320891069533215
1,0.42,0.005321085531811884
1,0.43,0.005321265999100972
1,0.44,0.005321441021229282
1,0.45,0.005321649612662903
1,0.46,0.005321839734110688
1,0.47,0.0053220496090903985
1,0.48,0.0053222825344856695
1,0.49,0.005322504705177526
1,0.5,0.005322718863974072
1,0.51,0.005322916842155786
1,0.52,0.005323111304025943
1,0.53,0.005323315683474339
1,0.54,0.005323526308501571
1,0.55,0.005323735883949958
1,0.56,0.005323961546116173
1,0.57,0.0053241651305867025
1,0.58,0.0053243839602676035
1,0.59,0.0053246264553356995
1,0.6,0.005324830299702311
1,0.61,0.0053250518843915694
1,0.62,0.005325313848165423
1,0.63,0.005325528776117919
1,0.64,0.005325748524477417
1,0.65,0.005325927533629105
1,0.66,0.005326151022176805
1,0.67,0.005326324889854305
1,0.68,0.005326553725174839
1,0.69,0.005326742838790534
1,0.7,0.005326939944765033
1,0.71,0.005327156037941895
1,0.72,0.005327378870901818
1,0.73,0.005327618215193509
1,0.74,0.005327896440406422
1,0.75,0.00532820426166577
1,0.76,0.005328450657521505
1,0.77,0.005328735078313837
1,0.78,0.0053290193928768525
1,0.79,0.0053293316408307085
1,0.8,0.005329633774807888
1,0.81,0.005329957149810257
1,0.82,0.005330284460194105
1,0.83,0.005330654473335715
1,0.84,0.005330984682080117
1,0.85,0.005331304866948205
1,0.86,0.005331662277491463
1,0.87,0.005332037199428018
1,0.88,0.005332480992289014
1,0.89,0.005332988676252972
1,0.9,0.005333496260127555
1,0.91,0.005333916276899955
1,0.92,0.005334414572621681
1,0.93,0.0053350306356251724
1,0.94,0.00533573336909715
1,0.95,0.005336436258945854
1,0.96,0.00533739725406154
1,0.97,0.005338396444141581
1,0.98,0.005339926684048955
1,0.99,0.00534207784885041
2,0.01,0.267358299400822
2,0.02,0.2680607484819132
2,0.03,0.26857427427190805
2,0.04,0.2691972830988415
2,0.05,0.26975509017486976
2,0.06,0.27041658750653685
2,0.07,0.2711130241673521
2,0.08,0.2717291465948564
2,0.09,0.2723000620557164
2,0.1,0.27293929621150825
2,0.11,0.27362159877195896
2,0.12,0.274331367966411
2,0.13,0.2750072656189942
2,0.14,0.2756982538418711
2,0.15,0.2763841161232053
2,0.16,0.277064948990804
2,0.17,0.2777321232960337
2,0.18,0.2784292770609477
2,0.19,0.27917611680715787
2,0.2,0.27973849731519984
2,0.21,0.28027275006757185
2,0.22,0.2809074279945306
2,0.23,0.28152629828234593
2,0.24,0.28224772717211494
2,0.25,0.2829220382577007
2,0.26,0.2837524258765165
2,0.27,0.2844616298811995
2,0.28,0.28518551637226985
2,0.29,0.28585947829255015
2,0.3,0.28667948577311314
2,0.31,0.2873627284303123
2,0.32,0.28804872897753103
2,0.33,0.28884573175774986
2,0.34,0.2896571138177023
2,0.35,0.2904988318945036
2,0.36,0.29132728243008776
2,0.37,0.29204283257295827
2,0.38,0.29292262162602295
2,0.39,0.2938153414892534
2,0.4,0.2947273368499228
2,0.41,0.29556605390463647
2,0.42,0.296616392459983
2,0.43,0.297523345701992
2,0.44,0.29854237293831704
2,0.45,0.29941735272980136
2,0.46,0.3004603073955275
2,0.47,0.3014169405121342
2,0.48,0.30237686518851153
2,0.49,0.30326353967824543
2,0.5,0.3041782965180324
2,0.51,0.3051565797510868
2,0.52,0.3062541660121536
2,0.53,0.307290924918685
2,0.54,0.3085505184293861
2,0.55,0.3094922012664009
2,0.56,0.31060343086019515
2,0.57,0.3118597513832886
2,0.58,0.31313331626667745
2,0.59,0.3142299671968393
2,0.6,0.3152892214136613
2,0.61,0.31646835358300185
2,0.62,0.31746123003864013
2,0.63,0.3186956317258483
2,0.64,0.31991373127812833
2,0.65,0.3211351079032108
2,0.66,0.3225855001175707
2,0.67,0.3239608955695921
2,0.68,0.32527951125026167
2,0.69,0.32653639371790855
2,0.7,0.3281235257447566
2,0.71,0.32977867954740386
2,0.72,0.33139288379756665
2,0.73,0.33264033429725326
2,0.74,0.3339790193049653
2,0.75,0.33537407623311966
2,0.76,0.336914795610626
2,0.77,0.33864989202033474
2,0.78,0.340447874236591
2,0.79,0.34205438031644547
2,0.8,0.34381685297210407
2,0.81,0.34540884810977035
2,0.82,0.3474787610380866
2,0.83,0.3497941890328163
2,0.84,0.35198593797135114
2,0.85,0.35379503405534896
2,0.86,0.35613644499116903
2,0.87,0.3589457553888863
2,0.88,0.3617347181982466
2,0.89,0.36472404427176375
2,0.9,0.36784974831379824
2,0.91,0.37141486689076214
2,0.92,0.37521233799093195
2,0.93,0.37952753188805755
2,0.94,0.38448726686914503
2,0.95,0.3904304065087251
2,0.96,0.3978065911025824
2,0.97,0.4085018563808587
2,0.98,0.42279119146368627
2,0.99,0.4419425765043014
3,0.01,0.011704974432153705
3,0.02,0.012381591628548173
3,0.03,0.0130330704129958
3,0.04,0.013629233174166148
3,0.05,0.014369041177928725
3,0.06,0.015159210995459018
3,0.07,0.015794555339619383
3,0.08,0.016166018496922445
3,0.09,0.01656850759443435
3,0.1,0.01698642053540388
3,0.11,0.017427247287716864
3,0.12,0.018020074072141925
3,0.13,0.018516538504083278
3,0.14,0.01903114695273891
3,0.15,0.019647806224752054
3,0.16,0.020343805293063323
3,0.17,0.020866246121943696
3,0.18,0.0215561702694529
3,0.19,0.022281114637159448
3,0.2,0.023087546335080505
3,0.21,0.02397830143554801
3,0.22,0.024742389914238428
3,0.23,0.025730552024437376
3,0.24,0.026661399657236264
3,0.25,0.027919131773531926
3,0.26,0.029224728954238718
3,0.27,0.03045973594570977
3,0.28,0.03185829047317936
3,0.29,0.033632683313149433
3,0.3,0.03494068897210156
3,0.31,0.036767191134811104
3,0.32,0.03881107201426917
3,0.33,0.04109637367771162
3,0.34,0.04337733467428403
3,0.35,0.04551949524660208
3,0.36,0.048183977381697676
3,0.37,0.050641222886238034
3,0.38,0.05374781544417551
3,0.39,0.05719185987647551
3,0.4,0.06010168472929647
3,0.41,0.06313416900588263
3,0.42,0.06704680618882483
3,0.43,0.07133296093005655
3,0.44,0.07582118685641359
3,0.45,0.07917853852443783
3,0.46,0.0842968494202766
3,0.47,0.08887692379146438
3,0.48,0.09427697023105763
3,0.49,0.09952042517191052
3,0.5,0.10526443221348897
3,0.51,0.11187068174605949
3,0.52,0.11767160619094391
3,0.53,0.12484680849582037
3,0.54,0.13215603649610067
3,0.55,0.14006218898517978
3,0.56,0.14695205416686843
3,0.57,0.15456589403631935
3,0.58,0.1626317484384106
3,0.59,0.17010621022469422
3,0.6,0.17779139142425315
3,0.61,0.18485635477055196
3,0.62,0.19141152377428042
3,0.63,0.1985705554809928
3,0.64,0.20562170679151673
3,0.65,0.2124622263480763
3,0.66,0.22013487617129887
3,0.67,0.22628327910808588
3,0.68,0.23370473701047928
3,0.69,0.2400711946322768
3,0.7,0.24804824848393434
3,0.71,0.2544421062436914
3,0.72,0.26182933725298185
3,0.73,0.26820809409710045
3,0.74,0.27442370669925165
3,0.75,0.2812448032785671
3,0.76,0.28804792523430095
3,0.77,0.29459449350598543
3,0.78,0.3010418099180822
3,0.79,0.30800563527866015
3,0.8,0.31428829674314096
3,0.81,0.32011966955389265
3,0.82,0.3261141714628323
3,0.83,0.3322116490426498
3,0.84,0.33875072401369183
3,0.85,0.34509060831380833
3,0.86,0.3500601172851092
3,0.87,0.35670237009772193
3,0.88,0.3639523587497163
3,0.89,0.36936504029102873
3,0.9,0.37543436484591935
3,0.91,0.38047944317505067
3,0.92,0.3853625496474676
3,0.93,0.3901936711065763
3,0.94,0.39581880596587127
3,0.95,0.40222159898205523
3,0.96,0.41022631171267154
3,0.97,0.41746561201839477
3,0.98,0.4276145666222503
3,0.99,0.4459552565630587
4,0.01,0.006879676346895402
4,0.02,0.00846909822028216
4,0.03,0.009702614233097377
4,0.04,0.010601997150106946
4,0.05,0.011568190336541034
4,0.06,0.012479244147285238
4,0.07,0.013245531827362985
4,0.08,0.014178402570726587
4,0.09,0.015253281529928464
4,0.1,0.01613622173641596
4,0.11,0.017300616699337128
4,0.12,0.018352472664902898
4,0.13,0.019439923835072686
4,0.14,0.020312718551797244
4,0.15,0.021698609892365273
4,0.16,0.023093715753221628
4,0.17,0.02456366939006572
4,0.18,0.02589538013425784
4,0.19,0.027351739908686192
4,0.2,0.028961251938047668
4,0.21,0.031053536758312746
4,0.22,0.03327546473830454
4,0.23,0.035376137373929854
4,0.24,0.037524360821407025
4,0.25,0.03957188563882609
4,0.26,0.04187127542427171
4,0.27,0.04444044330365124
4,0.28,0.047131843287225285
4,0.29,0.05016378178766773
4,0.3,0.05289802343523057
4,0.31,0.055407816281521506
4,0.32,0.05813615742961233
4,0.33,0.0612369367258364
4,0.34,0.06375780460454016
4,0.35,0.06688635859174678
4,0.36,0.06974841958443005
4,0.37,0.07345026980112797
4,0.38,0.07725378054190984
4,0.39,0.08069375032956258
4,0.4,0.0843191224892391
4,0.41,0.08792015166724212
4,0.42,0.09174868201117897
4,0.43,0.09503969185834671
4,0.44,0.0989893233107504
4,0.45,0.10282208181608457
4,0.46,0.10644397454565975
4,0.47,0.10993022342727797
4,0.48,0.1131769213505631
